Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,peak
5/10/2000,0.01284129,-0.067160303,-0.042874206,0.041364793,0.017474587,-0.006279456,-0.047664652,-0.056633384,-0.044657172,0.00624027,0.00449441,0.029327555,0.029675808,-0.011281389,-0.03990946,33.84242141,-5.89777,1.310616,3.0340102,48.88130522,-152.0197284,52.7304502,50.8342178,47.5451014,33.32246749,0.924855473,0.075144527,0.072619246,0
5/11/2000,0.048258368,0.01284129,-0.067160303,-0.042874206,0.026015259,0.059115207,0.035361165,-0.006024032,-0.014992764,0.017474587,0.00624027,0.00449441,0.029327555,-0.014051732,-0.011281389,38.89350558,-5.679333,2.54842,2.999325186,48.201546,-100.4621872,52.26445345,50.37515559,46.68161781,33.49452442,0.698630174,0.301369826,0.088848272,0
5/12/2000,0.023283064,0.048258368,0.01284129,-0.067160303,0.004402021,0.057244501,0.090344449,0.066590407,0.02520521,0.026015259,0.017474587,0.00624027,0.00449441,-0.011834457,-0.014051732,41.30646571,-5.71574,1.820298,2.915108958,44.70657,-55.88518567,51.6874185,50.0679584,46.22567639,32.99917472,0.592465771,0.407534229,0.146968059,0
5/15/2000,0.018389611,0.023283064,0.048258368,0.01284129,0.015953888,0.021819027,0.074661507,0.107761455,0.084007413,0.004402021,0.026015259,0.017474587,0.00624027,-0.023669784,-0.011834457,43.25259334,-4.878403,1.965924,2.847310033,44.70657,-39.52138701,51.53451325,49.90239779,46.25720008,32.17830604,0.50684941,0.49315059,0.265263332,1
5/16/2000,-0.031090608,0.018389611,0.023283064,0.048258368,0.001491466,-0.0191888,-0.013323661,0.039518819,0.072618767,0.015953888,0.004402021,0.026015259,0.017474587,-0.015037857,-0.023669784,40.80473467,-3.567787,1.893112,2.77915303,44.9424808,-62.22873979,51.1740938,49.60577548,46.47712848,31.57229345,0.650685148,0.349314852,0.359566989,0
5/17/2000,-0.027440726,-0.031090608,0.018389611,0.023283064,0.034432196,-0.030305308,-0.050985574,-0.045120434,0.007722046,0.001491466,0.015953888,0.004402021,0.026015259,0,-0.015037857,38.77888691,-2.329982,2.694042,2.773073671,45.16895517,-94.11884651,50.6098007,49.21865835,46.64618611,31.59366621,0.767605782,0.232394218,0.39187933,0
5/18/2000,-0.029806106,-0.027440726,-0.031090608,0.018389611,0.004713306,0.015798095,-0.048939409,-0.069619674,-0.063754535,0.034432196,0.001491466,0.015953888,0.004402021,-0.023905499,0,36.70724885,-2.54842,1.965924,2.715420123,50.60434,-111.5284735,50.0600702,48.75352848,46.59241228,31.74997997,0.901408528,0.098591472,0.333906652,0
5/19/2000,-0.077789431,-0.029806106,-0.027440726,-0.031090608,0.008382279,-0.058363379,-0.04727859,-0.112016094,-0.13269636,0.004713306,0.034432196,0.001491466,0.015953888,-0.032509255,-0.023905499,32.13411175,-8.009319,3.859036,2.797106971,50.60434,-175.4460052,49.44480875,48.01483341,46.00923845,32.58194791,0.962500079,0.037499921,0.235960646,0
5/22/2000,0.03716644,-0.077789431,-0.029806106,-0.027440726,0.018318626,0.020000689,-0.046744969,-0.03566018,-0.100397683,0.008382279,0.004713306,0.034432196,0.001491466,-0.035932034,-0.032509255,36.14435799,-4.29591,2.329987,2.763741259,50.25484244,-137.6536783,49.0771082,47.48729315,45.33394321,33.11124581,0.766128888,0.233871112,0.157638739,0
5/23/2000,0.034233194,0.03716644,-0.077789431,-0.029806106,0.043802601,0.057158415,0.058840478,-0.00790518,0.003179609,0.018318626,0.008382279,0.004713306,0.034432196,-0.018410515,-0.035932034,39.80106285,0.36406,2.766853,2.763963526,49.74719705,-91.78192168,48.6730017,47.14039608,44.86039089,32.79662163,0.586776613,0.413223387,0.158115837,0
5/24/2000,0.022187893,0.034233194,0.03716644,-0.077789431,0.039220734,0.075055187,0.088411002,0.090093065,0.023347407,0.043802601,0.018318626,0.008382279,0.004713306,-0.012882648,-0.018410515,42.1783089,0.80093,2.402798,2.738165989,49.27001039,-51.56215653,48.4181597,46.92906792,44.67976342,31.88422629,0.471074273,0.528925727,0.247841905,0
5/25/2000,0.04594989,0.022187893,0.034233194,0.03716644,0.038183787,0.104720311,0.140554764,0.153910578,0.155592641,0.039220734,0.043802601,0.018318626,0.008382279,-0.019652938,-0.012882648,47.00753727,0.728119,4.077472,2.833830704,41.794086,22.48719135,48.170599,46.95004471,44.95142772,29.85550118,0.223140445,0.776859555,0.397735924,0
